"Highest.Charting.Position","Song.Name","Streams","Artist","Artist.Followers","Genre","Popularity","Danceability","Energy","Loudness","Speechiness","Acousticness","Liveness","Tempo","Valence","Chord","Weeks.Charting","Duration.ms"
7,"traitor",19480679,"Olivia Rodrigo",6266514,"['pop']",94,0.38,0.339,-7.885,0.0338,0.691,0.12,100.607,0.0849,"D#/Eb",10,229227
3,"deja vu",18571755,"Olivia Rodrigo",6266514,"['pop']",93,0.442,0.612,-7.222,0.112,0.584,0.37,180.917,0.178,"D",17,215507
5,"Save Your Tears (with Ariana Grande) (Remix)",18053141,"The Weeknd",35305637,"['canadian contemporary r&b', 'canadian pop', 'pop']",94,0.65,0.825,-4.645,0.0325,0.0215,0.0936,118.091,0.593,"C",14,191014
14,"AM Remix",17617965,"Nio Garcia, J Balvin, Bad Bunny",2123734,"['latin', 'reggaeton', 'trap latino']",93,0.743,0.655,-5.015,0.159,0.114,0.0764,172.031,0.785,"F#/Gb",5,261335
20,"Need To Know",16908917,"Doja Cat",8640063,"['dance pop', 'pop']",90,0.664,0.609,-6.509,0.0707,0.304,0.0926,130.041,0.194,"C#/Db",7,210560
19,"Volando - Remix",16606925,"Mora, Bad Bunny, Sech",151486,"['reggaeton', 'trap latino']",91,0.659,0.688,-4.649,0.0673,0.207,0.113,153.979,0.632,"F#/Gb",3,273474
22,"Ain't Shit",16126897,"Doja Cat",8640063,"['dance pop', 'pop']",90,0.855,0.488,-4.601,0.208,0.506,0.347,124.097,0.619,"D#/Eb",5,174253
1,"drivers license",15684978,"Olivia Rodrigo",6266514,"['pop']",92,0.561,0.431,-8.81,0.0578,0.768,0.106,143.875,0.137,"A#/Bb",29,242013
24,"Heat Waves",15089184,"Glass Animals",1890510,"['gauze pop', 'indietronica', 'shiver pop']",85,0.761,0.525,-6.9,0.0944,0.44,0.0921,80.87,0.531,"B",31,238805
1,"Blinding Lights",15011809,"The Weeknd",35305637,"['canadian contemporary r&b', 'canadian pop', 'pop']",92,0.514,0.73,-5.934,0.0598,0.00146,0.0897,171.005,0.334,"C#/Db",83,200040
12,"happier",14849078,"Olivia Rodrigo",6266514,"['pop']",92,0.395,0.443,-9.72,0.133,0.765,0.0839,168.924,0.338,"F#/Gb",10,175933
27,"Pepas",14809458,"Farruko",10502148,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",92,0.762,0.766,-3.955,0.0343,0.00776,0.128,130.001,0.442,"G",3,287120
18,"Motley Crew",14329162,"Post Malone",33651775,"['dfw rap', 'melodic rap', 'rap']",90,0.797,0.631,-3.818,0.0786,0.0904,0.0998,129.915,0.288,"D#/Eb",3,184213
15,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",14273637,"Riton, Nightcrawlers",83689,"['dance pop', 'house', 'pop dance', 'tropical house', 'uk dance']",92,0.824,0.862,-3.424,0.126,0.0076,0.303,122.98,0.801,"D",23,169153
3,"Astronaut In The Ocean",14174752,"Masked Wolf",365975,"['australian hip hop']",89,0.778,0.695,-6.865,0.0913,0.175,0.15,149.996,0.472,"E",28,132780
5,"Leave The Door Open",13963568,"Bruno Mars, Anderson .Paak, Silk Sonic",32574754,"['dance pop', 'pop', 'post-teen pop']",92,0.586,0.616,-7.964,0.0324,0.182,0.0927,148.088,0.719,"F",21,242096
32,"Don't Go Yet",13205250,"Camila Cabello",22683756,"['dance pop', 'electropop', 'pop', 'post-teen pop']",88,0.666,0.796,-6.967,0.103,0.0492,0.0442,110.108,0.61,"A#/Bb",1,164842
11,"favorite crime",12818935,"Olivia Rodrigo",6266514,"['pop']",91,0.369,0.272,-10.497,0.0364,0.866,0.147,172.929,0.218,"A",10,152667
10,"Pareja Del Año",12572307,"Sebastian Yatra, Myke Towers",16216789,"['colombian pop', 'latin', 'reggaeton', 'reggaeton colombiano']",91,0.715,0.622,-5.102,0.046,0.163,0.0948,80.015,0.808,"E",15,195053
4,"Watermelon Sugar",11996689,"Harry Styles",16112621,"['pop', 'post-teen pop']",90,0.548,0.816,-4.209,0.0465,0.122,0.335,95.39,0.557,"C",83,174000
3,"RAPSTAR",11683383,"Polo G",4840346,"['chicago rap']",89,0.789,0.536,-6.862,0.242,0.41,0.129,81.039,0.437,"F#/Gb",16,165926
15,"You Right",11629418,"Doja Cat, The Weeknd",8640063,"['dance pop', 'pop']",89,0.828,0.621,-6.414,0.0565,0.0164,0.0845,128.986,0.436,"G#/Ab",5,186173
39,"911 - Remix",11553846,"Sech, Jhay Cortez",8758283,"['latin', 'panamanian pop', 'reggaeton', 'trap latino']",89,0.816,0.71,-3.728,0.0398,0.165,0.292,93.02,0.784,"G",3,208631
1,"DÁKITI",11524288,"Bad Bunny, Jhay Cortez",36142273,"['latin', 'reggaeton', 'trap latino']",86,0.731,0.573,-10.059,0.0544,0.401,0.113,109.928,0.145,"E",39,205090
41,"Miénteme",11477024,"TINI, Maria Becerra",2936204,"['latin pop', 'pop argentino']",90,0.85,0.541,-4.522,0.0674,0.161,0.286,92.003,0.916,"D",13,165275
17,"jealousy, jealousy",11287301,"Olivia Rodrigo",6266514,"['pop']",90,0.695,0.575,-6.334,0.116,0.198,0.0614,163.929,0.699,"A#/Bb",10,173160
33,"Poblado - Remix",11283626,"J Balvin, KAROL G, Nicky Jam, Crissin, Totoy El Frio, Natan & Shander",29051363,"['latin', 'reggaeton', 'reggaeton colombiano']",89,0.813,0.809,-5.382,0.0846,0.102,0.377,93.005,0.646,"D#/Eb",6,393280
2,"Dynamite",11196819,"BTS",37106176,"['k-pop', 'k-pop boy group']",89,0.746,0.765,-4.41,0.0993,0.0112,0.0936,114.044,0.737,"F#/Gb",49,199054
9,"The Business",10739770,"Tiësto",5785065,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'electro house', 'house', 'pop dance', 'slap house', 'trance', 'tropical house']",90,0.798,0.62,-7.079,0.232,0.414,0.112,120.031,0.235,"G#/Ab",39,164000
46,"Heartbreak Anthem (with David Guetta & Little Mix)",10315460,"Galantis",3120157,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']",89,0.595,0.784,-4.878,0.102,0.216,0.0608,124.111,0.479,"C#/Db",10,183726
1,"Mood (feat. iann dior)",10222056,"24kGoldn",1274433,"['cali rap']",89,0.701,0.716,-3.671,0.0361,0.174,0.324,91.007,0.732,"G",51,140533
48,"Entre Nosotros",10215216,"Tiago PZK, LIT killah",375865,"['trap argentino']",89,0.729,0.513,-6.345,0.0455,0.494,0.137,170.064,0.789,"F",3,192353
29,"Fiel - Remix",10032746,"Wisin, Jhay Cortez, Anuel AA, Los Legendarios, Myke Towers",6929075,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",89,0.839,0.711,-4.733,0.0473,0.398,0.118,97.99,0.573,"F#/Gb",6,349547
20,"Build a Bitch",9841998,"Bella Poarch",389076,"[]",89,0.855,0.463,-7.454,0.0367,0.217,0.347,102.931,0.866,"D#/Eb",11,122773
19,"Nicky Jam: Bzrp Music Sessions, Vol. 41",9799701,"Bizarrap, Nicky Jam",3126961,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino']",88,0.627,0.849,-3.167,0.153,0.0913,0.145,89.907,0.818,"C#/Db",4,158087
52,"Tiroteo - Remix",9781153,"Marc Seguí, Rauw Alejandro, Pol Granch",45362,"[]",88,0.75,0.522,-7.018,0.0293,0.282,0.0743,110.427,0.601,"A",4,321556
19,"NDA",9635619,"Billie Eilish",47014200,"['electropop', 'pop']",84,0.765,0.373,-9.921,0.0713,0.341,0.112,85.016,0.554,"G#/Ab",3,195777
40,"Rasputin",9600707,"Majestic, Boney M.",32178,"['house', 'pop dance', 'uk dance']",49,0.83,0.839,-6.985,0.0699,0.00201,0.0353,128.012,0.59,"F#/Gb",14,345543
52,"Leave Before You Love Me (with Jonas Brothers)",9428494,"Marshmello",31541310,"['brostep', 'edm', 'pop', 'pop dance', 'progressive electro house']",89,0.721,0.738,-4.77,0.0403,0.00226,0.118,119.976,0.637,"G",9,154983
56,"Freaks",9319465,"Surf Curse",495226,"['dreamo', 'indie surf', 'surf punk', 'vegas indie']",89,0.345,0.941,-9.918,0.0466,3.84e-05,0.0511,179.626,0.407,"A",13,147062
57,"Meu Pedaço de Pecado",9206366,"João Gomes",409173,"[]",83,0.668,0.887,-4.404,0.0564,0.369,0.257,151.92,0.907,"B",5,157176
31,"2/Catorce",9086979,"Rauw Alejandro, Mr. Naisgai",6080597,"['puerto rican pop', 'trap latino']",87,0.54,0.455,-5.988,0.224,0.675,0.12,83.876,0.432,"D#/Eb",12,212032
34,"Beautiful Mistakes (feat. Megan Thee Stallion)",9048966,"Maroon 5",32262679,"['pop', 'pop rock']",88,0.713,0.676,-5.483,0.027,0.0377,0.154,99.048,0.721,"A#/Bb",21,227395
31,"Run",9017356,"OneRepublic",12169108,"['dance pop', 'piano rock', 'pop', 'pop rock']",88,0.682,0.72,-8.173,0.0381,0.326,0.148,117.003,0.673,"B",15,169011
46,"Thot Shit",8977336,"Megan Thee Stallion",4787261,"['houston rap', 'pop', 'pop rap', 'trap queen']",88,0.95,0.693,-3.424,0.0898,0.0133,0.173,130.02,0.891,"A",7,184635
26,"Your Love (9PM)",8935418,"ATB, Topic, A7S",291777,"['german dance', 'german techno', 'german trance', 'trance']",88,0.669,0.784,-5.603,0.112,0.194,0.115,125.993,0.517,"G",26,150053
9,"brutal",8881356,"Olivia Rodrigo",6266514,"['pop']",89,0.672,0.526,-6.446,0.0599,0.0311,0.28,123.999,0.28,"E",10,143747
2,"Save Your Tears",8843110,"The Weeknd",35305637,"['canadian contemporary r&b', 'canadian pop', 'pop']",94,0.65,0.825,-4.645,0.0325,0.0215,0.0936,118.091,0.593,"C",34,191014
8,"Heartbreak Anniversary",8832945,"Giveon",1398563,"['pop', 'r&b']",87,0.449,0.465,-8.964,0.0791,0.524,0.303,89.087,0.543,"C",24,198371
2,"Don't Start Now",8821971,"Dua Lipa",1250353,"[]",0,0.793,0.793,-4.521,0.083,0.0123,0.0951,123.95,0.679,"B",83,183290
33,"Dinero",8564775,"Trinidad Cardona",116817,"[]",87,0.708,0.782,-4.687,0.0674,0.00772,0.107,119.997,0.484,"D",7,160880
35,"Sweater Weather",8564017,"The Neighbourhood",6662605,"['modern alternative rock', 'modern rock', 'pop']",87,0.612,0.807,-2.81,0.0336,0.0495,0.101,124.053,0.398,"A#/Bb",48,240400
69,"Sobrio",8514480,"Maluma",26769304,"['latin', 'reggaeton', 'reggaeton colombiano']",87,0.762,0.77,-2.758,0.223,0.138,0.15,177.998,0.631,"F",3,201181
12,"Someone You Loved",8490162,"Lewis Capaldi",8384096,"['pop', 'uk pop']",86,0.501,0.405,-5.679,0.0319,0.751,0.105,109.891,0.446,"C#/Db",83,182161
71,"Over The Top (feat. Drake)",8269753,"Smiley",26131,"['canadian hip hop', 'toronto rap']",83,0.833,0.498,-5.196,0.117,0.0493,0.119,139.928,0.259,"A#/Bb",1,153406
72,"2055",8133401,"Sleepy Hallow",408696,"['brooklyn drill', 'nyc rap']",85,0.829,0.512,-5.865,0.187,0.492,0.12,80.511,0.638,"F#/Gb",2,123987
33,"EL MAKINON",8102107,"KAROL G, Mariah Angeliq",17775316,"['latin', 'reggaeton', 'reggaeton colombiano']",87,0.635,0.706,-3.224,0.125,0.256,0.108,88.863,0.443,"F",18,209160
74,"Loco",8093413,"Justin Quiles, Chimbala, Zion & Lennox",2895789,"['latin', 'reggaeton', 'trap latino']",87,0.77,0.899,-2.981,0.0494,0.222,0.0894,128.05,0.851,"G#/Ab",8,231604
75,"Love Tonight - Edit",8006336,"Shouse",27116,"['aussietronica']",87,0.727,0.681,-7.114,0.0265,0.00214,0.0861,123.028,0.448,"F",4,241970
12,"ZITTI E BUONI",7975148,"Måneskin",3377762,"['indie rock italiano', 'italian pop']",86,0.625,0.939,-3.115,0.0669,0.00138,0.424,102.999,0.644,"E",11,194787
2,"telepatía",7912399,"Kali Uchis",1999954,"['colombian pop', 'pop']",88,0.653,0.524,-9.016,0.0502,0.112,0.203,83.97,0.553,"B",23,160191
9,"Botella Tras Botella",7735223,"Gera MX, Christian Nodal",2043294,"['mexican hip hop', 'rap conciencia']",87,0.727,0.546,-4.572,0.0437,0.656,0.122,106.891,0.69,"C",14,197333
7,"Fiel",7717211,"Los Legendarios, Wisin, Jhay Cortez",31488,"['reggaeton', 'trap latino']",88,0.849,0.701,-4.407,0.06,0.407,0.112,98.005,0.505,"F#/Gb",24,261667
1,"Dance Monkey",7687058,"Tones And I",2819593,"['australian pop', 'pop']",83,0.824,0.588,-6.4,0.0924,0.692,0.149,98.027,0.513,"F#/Gb",83,209438
7,"WITHOUT YOU",7642130,"The Kid LAROI",2230022,"['australian hip hop']",87,0.662,0.413,-7.357,0.0299,0.213,0.134,93.005,0.467,"C",34,161385
6,"Wants and Needs (feat. Lil Baby)",7637626,"Drake",56308172,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",87,0.578,0.449,-6.349,0.286,0.0618,0.119,136.006,0.1,"C#/Db",21,192956
83,"Bezos I",7516291,"Bo Burnham",1042079,"['comic']",84,0.694,0.948,-5.307,0.0361,0.00936,0.139,115.044,0.705,"D",2,58149
76,"Love Again",7465445,"Dua Lipa",1250353,"[]",0,0.659,0.667,-4.668,0.0339,0.00173,0.1,115.982,0.468,"B",3,258004
32,"Goosebumps - Remix",7452633,"Travis Scott, HVME",17719446,"['rap', 'slap house']",87,0.841,0.593,-7.846,0.0379,0.418,0.124,124.917,0.808,"C#/Db",28,162803
11,"Head & Heart (feat. MNEK)",7434252,"Joel Corry",207547,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance']",87,0.734,0.874,-3.158,0.0662,0.168,0.0489,122.953,0.905,"G#/Ab",55,166028
42,"BED",7383369,"Joel Corry, RAYE, David Guetta",207547,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance']",87,0.671,0.782,-4.593,0.0341,0.0142,0.333,123.989,0.618,"F#/Gb",20,178088
78,"Iko Iko (My Bestie)",7381585,"Justin Wellington, Small Jam",18228,"['melanesian pop', 'pacific islands pop', 'png pop']",87,0.862,0.753,-5.356,0.0625,0.131,0.077,105.039,0.827,"F",8,182857
89,"Better Believe",7365053,"Belly, The Weeknd, Young Thug",203972,"['canadian hip hop', 'canadian trap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'trap soul', 'underground hip hop']",80,0.797,0.573,-7.85,0.319,0.159,0.144,124.995,0.445,"C",1,206629
23,"Arcade",7353795,"Duncan Laurence",287361,"['dutch pop']",84,0.45,0.329,-12.603,0.0441,0.818,0.135,71.884,0.266,"A",25,183624
55,"512",7336542,"Mora, Jhay Cortez",151486,"['reggaeton', 'trap latino']",87,0.818,0.673,-7.542,0.148,0.348,0.172,87.961,0.695,"E",13,193636
1,"positions",7244853,"Ariana Grande",67158068,"['dance pop', 'pop', 'post-teen pop']",86,0.737,0.802,-4.771,0.0878,0.468,0.0931,144.015,0.682,"C",40,172325
6,"Circles",7156162,"Post Malone",33651775,"['dfw rap', 'melodic rap', 'rap']",87,0.695,0.762,-3.497,0.0395,0.192,0.0863,120.042,0.553,"C",84,215280
94,"Blaues Licht",7084292,"RAF Camora, Bonez MC",1329531,"['german hip hop']",78,0.819,0.835,-4.899,0.102,0.398,0.252,144.955,0.703,"G#/Ab",1,144264
75,"Ram Pam Pam",7064003,"Natti Natasha, Becky G",6341942,"['latin', 'latin pop', 'rap latina', 'reggaeton', 'trap latino']",86,0.908,0.813,-2.749,0.0777,0.305,0.278,97.018,0.924,"F",10,200785
96,"In Da Getto",6984262,"J Balvin, Skrillex",1250353,"[]",2,0.915,0.72,-3.126,0.0459,0.025,0.0942,126.986,0.631,"G#/Ab",4,131067
97,"Woman",6858466,"Doja Cat",8640063,"['dance pop', 'pop']",86,0.824,0.764,-4.175,0.0854,0.0888,0.117,107.998,0.881,"F",3,172627
60,"t r a n s p a r e n t s o u l feat. Travis Barker",6853994,"WILLOW",1521837,"['afrofuturism', 'dance pop', 'electropop', 'pop', 'pop rap', 'post-teen pop']",85,0.39,0.83,-5.201,0.0563,0.0021,0.156,90.021,0.191,"B",8,168030
99,"Clash (feat. Stormzy)",6825463,"Dave",1427540,"['uk hip hop']",79,0.871,0.519,-6.549,0.258,0.313,0.0869,140.013,0.532,"D",2,251733
22,"Before You Go",6813800,"Lewis Capaldi",8384096,"['pop', 'uk pop']",83,0.459,0.575,-4.858,0.0573,0.604,0.0885,111.881,0.183,"D#/Eb",83,215107
52,"Levitating",6799831,"Dua Lipa",27142474,"['dance pop', 'pop', 'uk pop']",89,0.702,0.825,-3.787,0.0601,0.00883,0.0674,102.977,0.915,"F#/Gb",19,203064
85,"Reckless",6711375,"Madison Beer",3363988,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop']",86,0.386,0.426,-6.642,0.0363,0.807,0.14,180.104,0.261,"D#/Eb",5,203385
103,"No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]",6709106,"BANDIDO",16074,"[]",85,0.769,0.812,-2.088,0.0825,0.281,0.0781,180.003,0.926,"C#/Db",5,280274
88,"Believer",6699895,"Imagine Dragons",35285425,"['modern rock', 'pop', 'rock']",86,0.776,0.78,-4.374,0.128,0.0622,0.081,124.949,0.666,"A#/Bb",83,204347
2,"Lemonade (feat. Gunna, Don Toliver & NAV)",6697067,"Internet Money",411579,"['pop rap', 'rap', 'trap']",82,0.799,0.66,-6.153,0.079,0.256,0.111,140.04,0.471,"C#/Db",48,195429
45,"Talking to the Moon",6660319,"Bruno Mars",32574754,"['dance pop', 'pop', 'post-teen pop']",83,0.523,0.606,-4.754,0.0301,0.512,0.106,145.837,0.065,"C#/Db",19,217867
3,"Roses - Imanbek Remix",6653690,"SAINt JHN",742692,"['melodic rap', 'pop rap', 'rap', 'slap house', 'trap']",72,0.769,0.719,-5.472,0.0474,0.0143,0.359,121.955,0.863,"G#/Ab",83,176867
59,"Sal y Perrea",6635076,"Sech",8758283,"['latin', 'panamanian pop', 'reggaeton', 'trap latino']",86,0.786,0.899,-0.515,0.127,0.192,0.299,90.025,0.813,"A#/Bb",11,216510
109,"Fulanito",6614072,"Becky G, El Alfa",10356559,"['dance pop', 'latin', 'latin pop', 'latin viral pop', 'pop', 'rap latina', 'reggaeton', 'trap latino']",86,0.93,0.837,-4.632,0.187,0.256,0.239,111.898,0.821,"G",3,158532
110,"París",6584896,"Ingratax",56699,"[]",86,0.57,0.455,-5.748,0.0996,0.441,0.0654,167.933,0.399,"C#/Db",1,151429
46,"lovely (with Khalid)",6569547,"Billie Eilish",47014200,"['electropop', 'pop']",86,0.351,0.296,-10.109,0.0333,0.934,0.095,115.284,0.12,"E",83,200186
24,"Sunflower - Spider-Man: Into the Spider-Verse",6546948,"Post Malone, Swae Lee",1250353,"[]",82,0.76,0.479,-5.574,0.0466,0.556,0.0703,89.911,0.913,"D",83,158040
113,"double take",6539852,"dhruv",73211,"['chill r&b', 'nyc pop']",86,0.663,0.434,-11.177,0.0648,0.828,0.249,109.075,0.225,"G#/Ab",3,171743
9,"Streets",6502302,"Doja Cat",8640063,"['dance pop', 'pop']",86,0.749,0.463,-8.433,0.0842,0.21,0.338,90.035,0.189,"B",29,226987
80,"By Your Side (feat. Tom Grennan)",6488622,"Calvin Harris",21942793,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",85,0.733,0.96,-3.597,0.0295,0.0514,0.287,124.01,0.811,"G",8,189672
116,"MORENA",6469500,"Luan Santana",5420471,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",85,0.526,0.731,-4.662,0.0887,0.18,0.0891,86.959,0.476,"B",3,193221
80,"Shape of You",6452492,"Ed Sheeran",83293380,"['pop', 'uk pop']",85,0.825,0.652,-3.183,0.0802,0.581,0.0931,95.977,0.931,"C#/Db",80,233713
9,"Señorita",6317487,"Shawn Mendes, Camila Cabello",33879560,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",82,0.759,0.54,-6.039,0.0287,0.037,0.0945,116.947,0.75,"A",83,190960
5,"Hold On",6300416,"Justin Bieber",1250353,"[]",0,0.658,0.634,-5.797,0.0413,0.0106,0.132,139.98,0.29,"C#/Db",21,170813
99,"Perfect",6278765,"Ed Sheeran",83293380,"['pop', 'uk pop']",86,0.599,0.448,-6.312,0.0232,0.163,0.106,95.05,0.168,"G#/Ab",83,263400
80,"2:50 Remix",6244011,"MYA, TINI, Duki",282045,"['latin pop']",85,0.818,0.812,-4.425,0.0475,0.112,0.234,139.966,0.844,"A",5,231708
2,"LA NOCHE DE ANOCHE",6242863,"Bad Bunny, ROSALÍA",36142273,"['latin', 'reggaeton', 'trap latino']",86,0.856,0.618,-4.892,0.286,0.0303,0.0866,81.993,0.391,"G",35,203201
1,"ROCKSTAR (feat. Roddy Ricch)",6180056,"DaBaby",7593046,"['north carolina hip hop', 'rap']",86,0.746,0.69,-7.956,0.164,0.247,0.101,89.977,0.497,"B",67,181733
12,"Heather",6164795,"Conan Gray",3794081,"['alt z', 'bedroom pop', 'electropop', 'indie pop', 'pop', 'post-teen pop']",86,0.357,0.425,-7.301,0.0333,0.584,0.322,102.078,0.27,"F",53,198040
13,"you broke me first",6152121,"Tate McRae",1647262,"['alt z', 'dance pop', 'pop', 'post-teen pop']",86,0.667,0.373,-9.389,0.05,0.785,0.0906,124.148,0.0823,"E",55,169266
126,"The Nights",6136340,"Avicii",20270895,"['dance pop', 'edm', 'pop', 'pop dance']",85,0.527,0.835,-5.298,0.0433,0.0166,0.249,125.983,0.654,"F#/Gb",18,176658
122,"Riptide",6089242,"Vance Joy",2421254,"['folk-pop', 'modern rock', 'pop', 'pop rock']",78,0.484,0.731,-6.694,0.0379,0.431,0.151,101.654,0.51,"C#/Db",37,204280
128,"Smells Like Teen Spirit",6065267,"Nirvana",13261089,"['grunge', 'permanent wave', 'rock']",77,0.502,0.912,-4.556,0.0564,2.55e-05,0.106,116.761,0.72,"C#/Db",30,301920
11,"enough for you",6040918,"Olivia Rodrigo",6266514,"['pop']",86,0.638,0.259,-10.706,0.0898,0.753,0.219,88.485,0.269,"G",10,202827
99,"Daddy Issues",6014443,"The Neighbourhood",6662605,"['modern alternative rock', 'modern rock', 'pop']",85,0.588,0.521,-9.461,0.0329,0.0678,0.123,85.012,0.337,"A#/Bb",42,260173
131,"Aquelas Coisas",6012839,"João Gomes",409173,"[]",84,0.682,0.873,-4.163,0.0449,0.402,0.0946,150.006,0.964,"F#/Gb",3,147072
19,"Miss The Rage (feat. Playboi Carti)",5952490,"Trippie Redd",6430522,"['melodic rap', 'rap', 'trap']",85,0.584,0.859,-5.616,0.121,0.0144,0.847,77.005,0.369,"G#/Ab",12,236883
4,"Memories",5928329,"Maroon 5",32262679,"['pop', 'pop rock']",85,0.775,0.327,-7.241,0.0557,0.841,0.0821,91.05,0.595,"B",83,189486
76,"Another Love",5914661,"Tom Odell",1838616,"['pop']",67,0.445,0.537,-8.532,0.04,0.695,0.0941,122.764,0.131,"E",16,244360
135,"Here's Your Perfect",5912784,"Jamie Miller",64288,"['pop soul']",85,0.558,0.454,-5.335,0.0551,0.499,0.146,113.12,0.424,"F#/Gb",4,158594
108,"Take Me To Church",5907750,"Hozier",4781906,"['irish singer-songwriter', 'modern rock', 'pop']",74,0.566,0.664,-5.303,0.0464,0.634,0.116,128.945,0.437,"E",37,241693
110,"Little Bit of Love",5848466,"Tom Grennan",261225,"['modern rock', 'uk pop']",80,0.689,0.706,-4.48,0.0312,0.0833,0.105,106.52,0.623,"C#/Db",13,226268
138,"Ficha Limpa",5847975,"Gusttavo Lima",12969190,"['sertanejo', 'sertanejo universitario']",85,0.774,0.732,-4.227,0.0308,0.108,0.243,135.005,0.734,"A",4,192725
14,"Up",5845156,"Cardi B",17353707,"['dance pop', 'pop', 'pop rap', 'rap']",83,0.868,0.795,-6.044,0.269,0.0012,0.0461,166,0.819,"B",25,156945
2,"Hawái",5769714,"Maluma",26769304,"['latin', 'reggaeton', 'reggaeton colombiano']",77,0.766,0.788,-3.128,0.312,0.105,0.142,179.984,0.609,"F#/Gb",52,200482
141,"New Normal",5768653,"Khalid",14187747,"['pop']",79,0.39,0.534,-9.575,0.0709,0.0807,0.184,92.047,0.244,"C",1,198765
81,"Bohemian Rhapsody - Remastered 2011",5756583,"Queen",35888760,"['classic rock', 'glam rock', 'rock']",74,0.392,0.402,-9.961,0.0536,0.288,0.243,143.883,0.228,"C",81,354320
5,"Bandido",5734402,"Myke Towers, Juhn",6150675,"['trap latino']",85,0.713,0.617,-4.637,0.0887,0.122,0.0962,168.021,0.682,"G#/Ab",32,232853
